[18825.070038] mouse_logger: [18825417511517] type=2, code=0, value=-2
[18825.070043] mouse_logger: [18825417517459] type=0, code=0, value=0
[18825.071003] mouse_logger: [18825418476802] type=2, code=0, value=-1
[18825.071008] mouse_logger: [18825418481606] type=2, code=1, value=1
[18825.071010] mouse_logger: [18825418484103] type=0, code=0, value=0
[18825.072011] mouse_logger: [18825419484595] type=2, code=0, value=-1
[18825.072014] mouse_logger: [18825419487724] type=0, code=0, value=0
[18825.073009] mouse_logger: [18825420482428] type=2, code=0, value=-2
[18825.073011] mouse_logger: [18825420485508] type=2, code=1, value=1
[18825.073013] mouse_logger: [18825420487075] type=0, code=0, value=0
[18825.073960] mouse_logger: [18825421434260] type=2, code=0, value=-1
[18825.073965] mouse_logger: [18825421438997] type=0, code=0, value=0
[18825.074957] mouse_logger: [18825422430380] type=2, code=0, value=-1
[18825.074961] mouse_logger: [18825422435133] type=2, code=1, value=1
[18825.074963] mouse_logger: [18825422437102] type=0, code=0, value=0
[18825.075954] mouse_logger: [18825423428052] type=2, code=0, value=-1
[18825.075959] mouse_logger: [18825423432980] type=0, code=0, value=0
[18825.076937] mouse_logger: [18825424410848] type=2, code=0, value=-2
[18825.076941] mouse_logger: [18825424415105] type=2, code=1, value=1
[18825.076943] mouse_logger: [18825424416968] type=0, code=0, value=0
[18825.077935] mouse_logger: [18825425408826] type=2, code=0, value=-1
[18825.077963] mouse_logger: [18825425436846] type=0, code=0, value=0
[18825.078972] mouse_logger: [18825426445992] type=2, code=0, value=-2
[18825.078976] mouse_logger: [18825426450112] type=2, code=1, value=1
[18825.078978] mouse_logger: [18825426451716] type=0, code=0, value=0
[18825.079974] mouse_logger: [18825427447057] type=2, code=0, value=-1
[18825.079979] mouse_logger: [18825427453504] type=0, code=0, value=0
[18825.080970] mouse_logger: [18825428443445] type=2, code=0, value=-1
[18825.080974] mouse_logger: [18825428447950] type=0, code=0, value=0
[18825.082000] mouse_logger: [18825429472066] type=2, code=0, value=-1
[18825.082032] mouse_logger: [18825429506341] type=2, code=1, value=1
[18825.082036] mouse_logger: [18825429510185] type=0, code=0, value=0
[18825.083011] mouse_logger: [18825430484585] type=2, code=0, value=-1
[18825.083038] mouse_logger: [18825430512432] type=0, code=0, value=0
[18825.084023] mouse_logger: [18825431495027] type=2, code=0, value=-1
[18825.084030] mouse_logger: [18825431504573] type=0, code=0, value=0
[18825.084948] mouse_logger: [18825432420228] type=2, code=0, value=-2
[18825.084956] mouse_logger: [18825432430121] type=0, code=0, value=0
[18825.085982] mouse_logger: [18825433455436] type=2, code=0, value=-1
[18825.086008] mouse_logger: [18825433482628] type=2, code=1, value=1
[18825.086011] mouse_logger: [18825433484905] type=0, code=0, value=0
[18825.086963] mouse_logger: [18825434436231] type=2, code=0, value=-1
[18825.086970] mouse_logger: [18825434444020] type=0, code=0, value=0
[18825.087967] mouse_logger: [18825435440491] type=2, code=0, value=-1
[18825.087994] mouse_logger: [18825435468446] type=2, code=1, value=1
[18825.087996] mouse_logger: [18825435470475] type=0, code=0, value=0
[18825.088926] mouse_logger: [18825436400334] type=2, code=0, value=-2
[18825.088929] mouse_logger: [18825436403523] type=0, code=0, value=0
[18825.089975] mouse_logger: [18825437448680] type=2, code=0, value=-1
[18825.089979] mouse_logger: [18825437453457] type=0, code=0, value=0
[18825.090993] mouse_logger: [18825438467233] type=2, code=0, value=-1
[18825.090997] mouse_logger: [18825438471658] type=2, code=1, value=1
[18825.090999] mouse_logger: [18825438473713] type=0, code=0, value=0
[18825.091955] mouse_logger: [18825439429269] type=2, code=0, value=-1
[18825.091959] mouse_logger: [18825439433774] type=0, code=0, value=0
[18825.092967] mouse_logger: [18825440440562] type=2, code=0, value=-1
[18825.092971] mouse_logger: [18825440445420] type=0, code=0, value=0
[18825.093950] mouse_logger: [18825441423509] type=2, code=0, value=-1
[18825.093955] mouse_logger: [18825441428923] type=0, code=0, value=0
[18825.094929] mouse_logger: [18825442403270] type=2, code=0, value=-1
[18825.094933] mouse_logger: [18825442407156] type=2, code=1, value=1
[18825.094934] mouse_logger: [18825442408816] type=0, code=0, value=0
[18825.095928] mouse_logger: [18825443402192] type=2, code=0, value=-1
[18825.095931] mouse_logger: [18825443405643] type=0, code=0, value=0
[18825.096940] mouse_logger: [18825444414082] type=2, code=0, value=-1
[18825.096945] mouse_logger: [18825444419080] type=0, code=0, value=0
[18825.097942] mouse_logger: [18825445416174] type=2, code=0, value=-2
[18825.097946] mouse_logger: [18825445420648] type=2, code=1, value=1
[18825.097948] mouse_logger: [18825445422301] type=0, code=0, value=0
