[ноя 6 23:23] mouse_logger: Performance stats - 0 events/sec
[  +0,000003] mouse_logger: [18798788169549] type=0, code=0, value=0
[  +0,000990] mouse_logger: [18798789159852] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798789163963] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798789165901] type=0, code=0, value=0
[  +0,000985] mouse_logger: [18798790150152] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798790155012] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798790157978] type=0, code=0, value=0
[  +0,000993] mouse_logger: [18798791150054] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798791154792] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798791156778] type=0, code=0, value=0
[  +0,000986] mouse_logger: [18798792142487] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798792147345] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798792150939] type=0, code=0, value=0
[  +0,000991] mouse_logger: [18798793141308] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798793146437] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798793149143] type=0, code=0, value=0
[  +0,001005] mouse_logger: [18798794153366] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798794158540] type=2, code=1, value=3
[  +0,000003] mouse_logger: [18798794161349] type=0, code=0, value=0
[  +0,000987] mouse_logger: [18798795148966] type=2, code=0, value=-2
[  +0,000006] mouse_logger: [18798795154423] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798795156554] type=0, code=0, value=0
[  +0,001000] mouse_logger: [18798796156062] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798796160946] type=2, code=1, value=3
[  +0,000003] mouse_logger: [18798796163499] type=0, code=0, value=0
[  +0,001001] mouse_logger: [18798797164078] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798797169319] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798797172105] type=0, code=0, value=0
[  +0,000972] mouse_logger: [18798798143285] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798798148561] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798798151284] type=0, code=0, value=0
[  +0,000991] mouse_logger: [18798799141255] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798799145448] type=2, code=1, value=3
[  +0,000001] mouse_logger: [18798799147396] type=0, code=0, value=0
[  +0,001003] mouse_logger: [18798800149946] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798800155003] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798800157854] type=0, code=0, value=0
[  +0,000989] mouse_logger: [18798801146551] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798801150857] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798801152860] type=0, code=0, value=0
[  +0,000953] mouse_logger: [18798802105765] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798802110002] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798802111971] type=0, code=0, value=0
[  +0,001040] mouse_logger: [18798803151732] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798803157136] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798803159803] type=0, code=0, value=0
[  +0,000990] mouse_logger: [18798804149956] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798804154129] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798804156013] type=0, code=0, value=0
[  +0,000994] mouse_logger: [18798805149419] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798805153517] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798805156152] type=0, code=0, value=0
[  +0,000987] mouse_logger: [18798806142868] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798806146358] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798806147934] type=0, code=0, value=0
[  +0,000993] mouse_logger: [18798807140644] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798807144650] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798807147158] type=0, code=0, value=0
[  +0,000990] mouse_logger: [18798808136619] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798808139722] type=2, code=1, value=3
[  +0,000001] mouse_logger: [18798808141287] type=0, code=0, value=0
[  +0,000981] mouse_logger: [18798809121798] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798809125181] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798809127602] type=0, code=0, value=0
[  +0,001011] mouse_logger: [18798810138875] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798810141898] type=2, code=1, value=3
[  +0,000001] mouse_logger: [18798810143425] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798811138327] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798811142296] type=2, code=1, value=3
[  +0,000003] mouse_logger: [18798811144696] type=0, code=0, value=0
[  +0,000959] mouse_logger: [18798812103785] type=2, code=0, value=-1
[  +0,000003] mouse_logger: [18798812106978] type=2, code=1, value=3
[  +0,000001] mouse_logger: [18798812108490] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798813103462] type=2, code=0, value=-2
[  +0,000002] mouse_logger: [18798813106347] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798813107852] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798814103612] type=2, code=0, value=-1
[  +0,000003] mouse_logger: [18798814106610] type=2, code=1, value=2
[  +0,000001] mouse_logger: [18798814108144] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798815103016] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798815105941] type=2, code=1, value=3
[  +0,000001] mouse_logger: [18798815107451] type=0, code=0, value=0
[  +0,000997] mouse_logger: [18798816103668] type=2, code=0, value=-2
[  +0,000002] mouse_logger: [18798816106605] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798816108111] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798817103467] type=2, code=0, value=-1
[  +0,000002] mouse_logger: [18798817106356] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798817107871] type=0, code=0, value=0
[  +0,000998] mouse_logger: [18798818106365] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798818109767] type=2, code=1, value=2
[  +0,000001] mouse_logger: [18798818111329] type=0, code=0, value=0
[  +0,000994] mouse_logger: [18798819104432] type=2, code=0, value=-1
[  +0,000002] mouse_logger: [18798819107506] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798819109035] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798820103837] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798820107058] type=2, code=1, value=2
[  +0,000001] mouse_logger: [18798820108601] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798821104049] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798821107200] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798821108806] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798822104223] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798822107349] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798822108905] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798823103621] type=2, code=0, value=-1
[  +0,000002] mouse_logger: [18798823106691] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798823108309] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798824104434] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798824107479] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798824109046] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798825103570] type=2, code=0, value=-1
[  +0,000002] mouse_logger: [18798825106516] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798825108051] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798826103710] type=2, code=0, value=-1
[  +0,000002] mouse_logger: [18798826106701] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798826108238] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798827104008] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798827107082] type=2, code=1, value=1
[  +0,000001] mouse_logger: [18798827108635] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798828103739] type=2, code=0, value=-1
[  +0,000002] mouse_logger: [18798828106720] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798828108242] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798829104078] type=2, code=0, value=-1
[  +0,000003] mouse_logger: [18798829107089] type=2, code=1, value=2
[  +0,000001] mouse_logger: [18798829108617] type=0, code=0, value=0
[  +0,001001] mouse_logger: [18798830108687] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798830112954] type=2, code=1, value=1
[  +0,000001] mouse_logger: [18798830114504] type=0, code=0, value=0
[  +0,000998] mouse_logger: [18798831111516] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798831116223] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798831118126] type=0, code=0, value=0
[  +0,000992] mouse_logger: [18798832109518] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798832113208] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798832114916] type=0, code=0, value=0
[  +0,000991] mouse_logger: [18798833105980] type=2, code=0, value=-1
[  +0,000003] mouse_logger: [18798833109700] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798833111258] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798834105695] type=2, code=0, value=-1
[  +0,000002] mouse_logger: [18798834108791] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798834110338] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798835105044] type=2, code=1, value=2
[  +0,000004] mouse_logger: [18798835109540] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798836104825] type=2, code=0, value=-1
[  +0,000003] mouse_logger: [18798836108065] type=2, code=1, value=1
[  +0,000001] mouse_logger: [18798836109754] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798837104245] type=2, code=0, value=-1
[  +0,000003] mouse_logger: [18798837107214] type=2, code=1, value=1
[  +0,000001] mouse_logger: [18798837108795] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798838103572] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798838106395] type=0, code=0, value=0
[  +0,001023] mouse_logger: [18798839128626] type=2, code=0, value=-1
[  +0,000002] mouse_logger: [18798839131468] type=0, code=0, value=0
[  +0,001021] mouse_logger: [18798840151924] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798840156412] type=0, code=0, value=0
[  +0,000983] mouse_logger: [18798841139219] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798841143489] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798841145466] type=0, code=0, value=0
[  +0,000984] mouse_logger: [18798842129000] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798842132114] type=0, code=0, value=0
[  +0,001011] mouse_logger: [18798843143252] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798843146338] type=0, code=0, value=0
[  +0,001959] mouse_logger: [18798845105535] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798845110410] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798845112374] type=0, code=0, value=0
[  +0,001029] mouse_logger: [18798846141149] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798846145376] type=0, code=0, value=0
[  +0,000992] mouse_logger: [18798847137620] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798847141092] type=0, code=0, value=0
[  +0,000961] mouse_logger: [18798848102714] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798848105854] type=0, code=0, value=0
[  +0,002054] mouse_logger: [18798850159433] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798850163576] type=0, code=0, value=0
[  +0,001011] mouse_logger: [18798851174612] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798851178951] type=0, code=0, value=0
[  +0,000958] mouse_logger: [18798852135946] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798852140070] type=0, code=0, value=0
[  +0,002046] mouse_logger: [18798854185912] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798854190217] type=0, code=0, value=0
[  +0,000968] mouse_logger: [18798855158409] type=2, code=0, value=1
[  +0,000003] mouse_logger: [18798855161595] type=0, code=0, value=0
[  +0,000976] mouse_logger: [18798856136856] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798856139830] type=0, code=0, value=0
[  +0,001006] mouse_logger: [18798857145839] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798857148710] type=0, code=0, value=0
[  +0,000956] mouse_logger: [18798858104098] type=2, code=0, value=1
[  +0,000003] mouse_logger: [18798858107181] type=2, code=1, value=1
[  +0,000001] mouse_logger: [18798858108721] type=0, code=0, value=0
[  +0,001040] mouse_logger: [18798859148363] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798859152601] type=0, code=0, value=0
[  +0,000957] mouse_logger: [18798860109343] type=2, code=1, value=1
[  +0,000005] mouse_logger: [18798860114237] type=0, code=0, value=0
[  +0,001005] mouse_logger: [18798861119710] type=2, code=1, value=1
[  +0,000004] mouse_logger: [18798861123847] type=0, code=0, value=0
[  +0,001024] mouse_logger: [18798862147647] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798862151069] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798863145542] type=2, code=0, value=1
[  +0,000003] mouse_logger: [18798863148778] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798863150373] type=0, code=0, value=0
[  +0,001003] mouse_logger: [18798864153412] type=2, code=1, value=1
